PROVINCIA,TRANSITORIAS,TEMPORARIAS,PERMANENTES,TOTAL
CIUDAD AUTONOMA DE BS AS,2836,23678,10631,37145
BUENOS AIRES,288,4986,3839,9113
SANTA FE,131,570,740,1441
CORDOBA,272,578,348,1198
SALTA,12,435,323,770
MENDOZA,76,371,302,749
CHUBUT,30,376,258,664
MISIONES,3,240,278,521
CORRIENTES,9,220,242,471
NEUQUEN,28,195,155,378
RIO NEGRO,47,192,134,373
TIERRA DEL FUEGO,175,51,93,319
ENTRE RIOS,40,110,110,260
FORMOSA,1,107,141,249
SAN JUAN,20,96,86,202
TUCUMAN,32,88,76,196
JUJUY,19,89,82,190
LA RIOJA,7,86,83,176
SANTA CRUZ,8,92,58,158
SAN LUIS,3,54,45,102
LA PAMPA,15,35,37,87
